candidate_id	status	file	line	qkey	statement	value	unit	markers	notes
CAND-0001	UNREVIEWED	ch-64-excerpt.md	4		Fetched: 2026-08-29 (chunk 1 of 4 — Lesson 64.1 + start of 64.2)	2026-08-29		iso_date|score_band	auto-extracted; assign qkey + status in triage (03)
CAND-0002	UNREVIEWED	ch-64-excerpt.md	25		> Nepali commercial banks' average ROE has fallen sharply in recent years — from roughly **13% in the third quarter of fiscal year 2022/23 to under 8%** in the same period of fiscal year 2024/25, as high provisioning and slow credit growth squeezed the whole sector.	13%		percent|fraction	auto-extracted; assign qkey + status in triage (03)
CAND-0003	UNREVIEWED	ch-64-excerpt.md	27		> CASE IN POINT: In the **nine months to Q3 FY2024/25**, Nepal's commercial banks averaged roughly **7.73% ROE system-wide**.	7.73%		percent	auto-extracted; assign qkey + status in triage (03)
CAND-0004	UNREVIEWED	ch-64-excerpt.md	27		Individual results ranged from about **15.8% at the strongest bank to under 1%** at the weakest.	15.8%		percent	auto-extracted; assign qkey + status in triage (03)
CAND-0005	UNREVIEWED	ch-66-excerpt.md	4		Fetched: 2026-08-29 (chunk 1 of 6 — Lesson 66.1)	2026-08-29		iso_date|score_band	auto-extracted; assign qkey + status in triage (03)
CAND-0006	UNREVIEWED	ch-66-excerpt.md	8		"A ""watch list minimum"" and a ""buy list minimum."" A reasonable starting point, calibrated to the 0-100 rubric from Chapter 64:"	0-100		score_band	auto-extracted; assign qkey + status in triage (03)
CAND-0007	UNREVIEWED	ch-66-excerpt.md	15		This is the verified *prohibitive* side of the audit's 56–59 collision (CON-0002; RUL-0001, T4; CLM-0004 `no_fresh_capital`).	56–59		score_band	auto-extracted; assign qkey + status in triage (03)
CAND-0008	UNREVIEWED	corpus-inventory-note.md	4		Fetched: 2026-08-29	2026-08-29		iso_date|score_band	auto-extracted; assign qkey + status in triage (03)
CAND-0009	UNREVIEWED	corpus-inventory-note.md	9		- **121 chapter pages**: Part 0 = 0.1, 0.2, 0.3; Parts I–XVIII = chapters 1–118.	1–118		score_band	auto-extracted; assign qkey + status in triage (03)
CAND-0010	UNREVIEWED	corpus-inventory-note.md	16		Fetched (partial, first chunk only): ch-64 (1/4), ch-66 (1/6).	1/4		fraction	auto-extracted; assign qkey + status in triage (03)
CAND-0011	UNREVIEWED	corpus-inventory-note.md	17		Pending: 120 pages — priorities marked in corpus-map.tsv (PRIORITY 1: ch-0.1/0.2/0.3, ch-62, ch-67; PRIORITY 2: ch-56, ch-63, ch-65, ch-83, ch-84, ch-23, ch-79–82, research pages).	1/0		fraction|score_band	auto-extracted; assign qkey + status in triage (03)
CAND-0012	UNREVIEWED	framework-excerpt.md	4		Fetched: 2026-08-29 (complete page)	2026-08-29		iso_date|score_band	auto-extracted; assign qkey + status in triage (03)
CAND-0013	UNREVIEWED	framework-excerpt.md	21		Chapters 63–66 combine both sides into a single Canon Score out of 100.	63–66		score_band	auto-extracted; assign qkey + status in triage (03)
CAND-0014	UNREVIEWED	framework-excerpt.md	25		Ledger refs: CLM-0001 (H2=60), CLM-0002 (H1=40), CLM-0003 (vector), CLM-0012 (max=100); CALC-0001/0002.	0001/0002		fraction	auto-extracted; assign qkey + status in triage (03)
CAND-0015	UNREVIEWED	research-chilime-flood.md	4		Fetched: 2026-08-29 (complete page)	2026-08-29		iso_date|score_band	auto-extracted; assign qkey + status in triage (03)
CAND-0016	UNREVIEWED	research-chilime-flood.md	9		> | Nabil Bank Limited | NABIL | Commercial banking | **71 / 100** | Strong |	71 / 100		fraction	auto-extracted; assign qkey + status in triage (03)
CAND-0017	UNREVIEWED	research-chilime-flood.md	10		> | Chilime Hydropower | CHCL | Hydropower | **62 / 100** | Adequate † |	62 / 100		fraction	auto-extracted; assign qkey + status in triage (03)
CAND-0018	UNREVIEWED	research-chilime-flood.md	12		> † **Chilime was damaged by the Bhotekoshi flood of 26 August 2026**, one day after this analysis was completed.	26 August		word_date	auto-extracted; assign qkey + status in triage (03)
CAND-0019	UNREVIEWED	research-chilime-flood.md	14		**The plant was damaged in the 26 August 2026 Bhotekoshi flood and generation halted; the analysis predates that event and has not yet been rescored.**	26 August		word_date	auto-extracted; assign qkey + status in triage (03)
CAND-0020	UNREVIEWED	research-chilime-flood.md	18		"- CLM-0006 (Nabil 71/100), CLM-0007 (Chilime 62/100, as-of 25 Aug 2026 — ""one day before"" the 26 Aug flood)."	71/100		fraction|word_date	auto-extracted; assign qkey + status in triage (03)
