id	class	issuer	title	doc_no	date	url	snapshot_sha256	accessed	notes
SRC-0001	L8	Santosh (author)	Forensic Audit of The Investor's Canon	FA-12.x	2026-08	(pending - text supplied in session; publication at santoshkumaradhikari.com.np unconfirmed)		2026-08-29	Red-team baseline. Full 12-item list pending (B2); 3 exemplar findings seeded as CON-0001..0003.
SRC-0002	L0	The Investor's Canon (public web edition)	Chapter 64 - The Seven-Dimension Company Quality Score (0-100)	ch-64		https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-64-seven-dimension-score.html		2026-08-29	Fetched (chunk 1 of 4). Rubric table + ROE anchors extracted to corpus/evidence/ch-64-excerpt.md.
SRC-0003	L0	The Investor's Canon (public web edition)	The Canon Framework (visual overview)	framework		https://santoshkumaradhikari.com.np/investors-canon/framework.html		2026-08-29	Fetched complete. Hemisphere + weight definitions extracted to corpus/evidence/framework-excerpt.md.
SRC-0004	L0	The Investor's Canon (public web edition)	Chapter 66 - Using the Canon Score in Portfolio Decisions	ch-66		https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-66-using-canon-score-portfolio.html		2026-08-29	Fetched (chunk 1 of 6). Lesson 66.1 band thresholds extracted to corpus/evidence/ch-66-excerpt.md.
SRC-0005	L0	The Investor's Canon (public web edition)	Research - Company Analysis (index page: Nabil Bank, Chilime Hydropower)	research		https://santoshkumaradhikari.com.np/research/		2026-08-29	Fetched complete. Chilime flood notice extracted to corpus/evidence/research-chilime-flood.md.
SRC-0006	L2	Nepal Rastra Bank	Monetary Policy / Credit Review series (verification target for Ch. 64 ROE anchors: ~13% Q3 FY2022/23 -> <8% Q3 FY2024/25; 7.73% system-wide 9m Q3 FY2024/25)		(pending)	https://www.nrb.org.np		2026-08-29	Verification target (B3). CLM rows stay UNREVIEWED until NRB figures confirmed.
SRC-0007	L0	The Investor's Canon (public web edition)	Contents index (all 121 chapter pages, 4 volumes, Part 0 + Parts I-XVIII)	index		https://santoshkumaradhikari.com.np/investors-canon/		2026-08-29	Fetched (3 chunks). Full inventory in corpus-map.tsv; self-count '118 chapters' vs 121 pages -> CON-0006.
SRC-0008	L0	The Investor's Canon (public web edition)	Chapter 0.1 - Nepal's Credit Cycle: The Hidden Equity Cycle	ch-0-1		https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-0-1-credit-cycle.html		2026-08-29	Fetched via site-source snapshot 2026-08-29. Home of the 6-18 month lead claim (lines 23, 44, 47, 87-91, 119): CON-0003 / CLM-0010 / EXH-001.
SRC-0009	L0	The Investor's Canon (public web edition)	Chapter 91 - Case Study 9: A Hydropower Overrun and Delay	ch-91		https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-91-case-study-hydropower-overrun.html		2026-08-29	Line 70: 'Hemisphere 2 comes to 5 + 4 + 5 + 1 = 15 out of 40' - CON-0001 occurrence 1 (the audit's 15/40).
SRC-0010	L0	The Investor's Canon (public web edition)	Chapter 92 - Case Study 10: An Insurance Company	ch-92		https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-92-case-study-insurance-company.html		2026-08-29	Line 82: 'Hemisphere 2 comes to 4 + 2 + 8 + 6 = 20 out of 40' - CON-0001 occurrence 2.
SRC-0011	L0	The Investor's Canon (public web edition)	Chapter 93 - Case Study 11: A Hotel Sector Investment	ch-93		https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-93-case-study-hotel-investment.html		2026-08-29	Line 82: 'Hemisphere 2 comes to 13 + 3 + 6 + 7 = 29 out of 40' - CON-0001 occurrence 3.
SRC-0012	L0	The Investor's Canon (public web edition)	Research - Chilime Hydropower (full page with flood notice)	research-chilime		https://santoshkumaradhikari.com.np/research/chilime-hydropower/		2026-08-29	Full notice: 'Scored on 25 August 2026, one day before the Bhotekoshi flood'; 'Treat the 62/100 as a historical record'; page commits to update after CHCL's damage disclosure. CON-0004.
SRC-0013	L0	The Investor's Canon (public web edition)	Research - Nabil Bank Limited (full analysis)	research-nabil		https://santoshkumaradhikari.com.np/research/nabil-bank/		2026-08-29	Canon Score 71/100 with sub-scores (Liquidity 10/10, Valuation 6/15, Governance 11/15, ...) - CALC arithmetic check target for CLM-0006.
